ticker,date,adj_close
LYB,2018-02-28,108.22
LUV,2018-02-28,57.84
LRCX,2018-02-28,191.86
LOW,2018-02-28,89.59
LNT,2018-02-28,38.65
LNC,2018-02-28,76.17
LMT,2018-02-28,352.44
LLY,2018-02-28,77.02
LLL,2018-02-28,207.55
LKQ,2018-02-28,39.48
LH,2018-02-28,172.7
LEN,2018-02-28,56.58
LEG,2018-02-28,43.46
LB,2018-02-28,49.33
L,2018-02-28,49.33
KSU,2018-02-28,103.04
KSS,2018-02-28,66.09
KR,2018-02-28,27.12
KORS,2018-02-28,62.93
KO,2018-02-28,43.22
KMX,2018-02-28,61.92
KMI,2018-02-28,16.2
KMB,2018-02-28,110.92
KLAC,2018-02-28,113.31
KIM,2018-02-28,14.96
KHC,2018-02-28,67.05
KEY,2018-02-28,21.13
K,2018-02-28,66.2
JWN,2018-02-28,51.31
JPM,2018-02-28,115.5
JNPR,2018-02-28,25.66
JNJ,2018-02-28,129.88
JEC,2018-02-28,61.06
JCI,2018-02-28,36.87
JBHT,2018-02-28,118.57
IVZ,2018-02-28,32.54
ITW,2018-02-28,161.44
IT,2018-02-28,113.41
ISRG,2018-02-28,426.45
IRM,2018-02-28,31.46
IR,2018-02-28,88.8
IQV,2018-02-28,98.33
IPGP,2018-02-28,245.64
IPG,2018-02-28,23.4
IP,2018-02-28,59.59
INTU,2018-02-28,166.86
INTC,2018-02-28,49.29
INFO,2018-02-28,47.05
INCY,2018-02-28,85.16
ILMN,2018-02-28,228.02
IFF,2018-02-28,141.25
IDXX,2018-02-28,187.23
ICE,2018-02-28,73.08
IBM,2018-02-28,155.83
HUM,2018-02-28,271.82
HSY,2018-02-28,98.26
HST,2018-02-28,18.56
HSIC,2018-02-28,66.19
HRS,2018-02-28,156.15
HRL,2018-02-28,32.46
HRB,2018-02-28,25.33
HPQ,2018-02-28,23.39
HPE,2018-02-28,18.59
HP,2018-02-28,64.55
HON,2018-02-28,151.11
HOLX,2018-02-28,38.83
HOG,2018-02-28,45.38
HLT,2018-02-28,80.79
HII,2018-02-28,262.01
HIG,2018-02-28,52.85
HFC,2018-02-28,42.83
HES,2018-02-28,45.42
HD,2018-02-28,182.27
HCP,2018-02-28,21.64
HCA,2018-02-28,99.25
HBI,2018-02-28,19.4
HBAN,2018-02-28,15.7
HAS,2018-02-28,95.57
HAL,2018-02-28,46.42
GWW,2018-02-28,261.55
GT,2018-02-28,28.94
GS,2018-02-28,262.93
GRMN,2018-02-28,59.24
GPS,2018-02-28,31.58
GPN,2018-02-28,113.39
GPC,2018-02-28,91.84
GOOGL,2018-02-28,1103.92
GOOG,2018-02-28,1104.73
GM,2018-02-28,39.35
GLW,2018-02-28,29.08
GIS,2018-02-28,50.55
GILD,2018-02-28,78.73
GE,2018-02-28,14.11
GD,2018-02-28,222.45
FTV,2018-02-28,76.8
FTI,2018-02-28,28.82
FRT,2018-02-28,113.94
FOXA,2018-02-28,36.82
FOX,2018-02-28,36.42
FMC,2018-02-28,78.48
FLT,2018-02-28,199.93
FLS,2018-02-28,42.35
FLR,2018-02-28,56.9
