Symbol,Price
GPC,99.449997
GPN,126.709999
GPS,28.430475
GRMN,69.589996
GS,227.740005
GT,23.23
GWW,355.269989
HAL,40.59
HAS,105.980003
HBAN,15.07
HBI,18.129999
HCA,138.330002
HCP,25.65
HD,206.839996
HES,71.58000200000002
HFC,69.769997
HIG,49.630001
HII,255.990005
HLT,82.040001
HOG,45.0
HOLX,40.75
HON,163.56083700000005
HP,69.08000200000001
HPE,16.280001000000002
HPQ,25.629999
HRB,25.969999
HRL,38.900002
HRS,167.199997
HSIC,85.209999
HST,21.18
HSY,101.739998
HUM,335.079987
IBM,151.5
ICE,74.989998
IDXX,248.679993
IFF,138.53999299999998
ILMN,366.980011
INCY,69.040001
INFO,53.400002
INTC,45.880001
INTU,222.33815
IP,50.23
IPG,22.790001
IPGP,158.809998
IQV,130.770004
IR,102.68
IRM,34.09
ISRG,569.6900019999998
IT,159.309998
ITW,141.979996
IVZ,23.059999
JBHT,118.449997
JCI,35.549999
JEC,76.470001
JEF,22.0
JNJ,138.220001
JNPR,29.700001
JPM,113.723618
JWN,60.02
K,70.010002
KEY,20.02
KHC,55.040001
KIM,16.165018
KLAC,100.910004
KMB,112.919998
KMI,17.559998999999998
KMX,73.82
KO,46.009998
KORS,69.459999
KR,29.0
KSS,74.730003
KSU,114.489998
L,49.939999
LB,30.200001
LEG,43.779999
LEN,47.080002
LH,170.759995
LKQ,31.719999
LLL,212.089996
LLY,106.690002
LMT,346.049988
LNC,67.582527
LNT,42.060001
LOW,114.5
LRCX,150.570007
LUV,62.709999
LYB,102.779999
M,34.59
MA,222.052872
MAA,98.910004
MAC,54.529999
MAR,133.419998
MAS,37.116085
MAT,15.98
MCD,166.529999
MCHP,78.610001
MCK,131.690002
MCO,173.46000700000005
MDLZ,43.07
MDT,97.699997
MET,46.900002
MGM,27.719999
MHK,179.330002
MKC,127.798424
MLM,187.110001
MMC,82.914749
MMM,210.110001
MNST,58.32
MO,60.77
MOS,32.27
MPC,83.040001
MRK,70.720001
MRO,22.73
MS,47.77
MSCI,178.630005
MSFT,114.410004
MSI,128.529999
MTB,165.600006
MTD,610.0
MU,44.990002
MYL,37.07
NBL,31.35
NCLH,56.889999
NDAQ,86.449997
NEE,165.589996
NEM,29.98
NFLX,380.709991
NFX,29.27
NI,24.780001
NKE,84.540001
NKTR,60.91
NLSN,27.959999
NOC,316.769989
NOV,43.040001
NRG,36.450001
NSC,182.330002
NTAP,85.250557
NTRS,102.93
NUE,63.07
NVDA,267.399994
NWL,20.450001
NWS,13.35
NWSA,12.88
O,55.898998
OKE,68.18
OMC,68.209999
ORCL,51.689999
ORLY,345.899994
OXY,81.16999799999998
PAYX,73.449997
PBCT,17.049999
PCAR,69.059998
PCG,45.27
PEG,51.34
PEP,111.050003
PFE,43.900002
PFG,58.630001
PG,82.860001
PGR,70.32
PH,186.5
PHM,24.98
PKG,110.540001
PKI,96.910004
PLD,66.459999
PM,81.510002
PNC,137.339996
PNR,43.48
