,index,0
492,WY,Weyerhaeuser
493,WHR,Whirlpool Corp.
494,WMB,Williams Cos.
495,WLTW,Willis Towers Watson
496,WYNN,Wynn Resorts Ltd
497,XEL,Xcel Energy Inc
498,XRX,Xerox
499,XLNX,Xilinx
500,XYL,Xylem Inc.
501,YUM,Yum! Brands Inc
502,ZBH,Zimmer Biomet Holdings
503,ZION,Zions Bancorp
504,ZTS,Zoetis
