Date,AAPL,AMZN,GOOG,HD,IBM,MCD,MMM,NFLX,NVDA,PSX,TSLA,TXN
2015-05-20,122.71093,423.85998499999994,539.27002,103.99855,151.940201,90.59264399999999,149.077621,88.790001,20.557301000000002,73.023659,244.350006,51.256778999999995
2015-05-21,123.96578999999998,431.630005,542.51001,103.91507,151.572983,89.841545,149.22496,89.002853,20.410744,73.458961,245.61999500000002,51.137001
2015-05-22,125.05081899999999,427.630005,540.1099849999999,104.054237,150.593597,89.579124,148.23053000000002,88.83856999999999,20.381432999999998,73.43175500000001,247.729996,51.017227
2015-05-26,122.295799,425.47000099999997,532.320007,102.913124,148.766052,89.09949499999999,146.950592,87.992859,20.254412,71.971634,247.460007,50.270901
2015-05-27,124.57906299999999,431.420013,539.789978,104.054237,150.40123,89.280495,148.267334,89.85714,21.338945000000002,71.817482,247.42999300000002,51.570057
2015-05-28,124.33373999999999,426.57000700000003,539.780029,104.082054,150.14761399999998,88.066467,148.129196,89.507141,21.632065,72.15303,251.44999700000002,51.514773999999996
2015-05-29,122.91851000000001,429.23001100000005,532.1099849999999,103.36770600000001,148.34631299999998,87.564423,146.480972,89.15142800000001,21.622293,71.75399,250.80000299999998,51.523983
2015-06-01,123.16381100000001,430.920013,533.98999,103.59964000000001,148.80973799999998,87.829155,146.388901,89.002853,21.866556,71.962585,249.44999700000002,51.330490000000005
2015-06-02,122.6166,430.98999000000003,539.179993,104.07530200000001,148.34631299999998,87.89302099999999,146.480972,89.129997,21.436657,71.73584,248.350006,50.906651000000004
2015-06-03,122.76754,436.589996,540.3099980000001,105.53958100000001,148.582413,88.102997,147.475433,88.808571,21.202164,71.010338,248.99000499999997,50.574951
2015-06-04,122.050491,430.77999900000003,536.700012,103.954048,147.23580900000002,87.911293,145.80879199999998,89.34857199999999,21.583212,70.175987,245.919998,49.736488
2015-06-05,121.38061499999999,426.950012,533.330017,102.937454,146.37884499999998,87.208458,144.63942,90.459999,21.749308,70.7836,249.13999900000002,49.561428
2015-06-08,120.578629,423.5,526.830017,102.52709200000001,144.57753,87.007622,144.188202,89.604286,21.251011,69.994598,256.290009,48.667683000000004
2015-06-09,120.22010800000001,425.48001100000005,526.6900019999999,102.15403,144.874847,86.469078,144.547302,92.449997,21.35849,69.6409,256.0,48.759827
2015-06-10,121.597626,430.76998899999995,536.6900019999999,103.506371,147.708008,86.98938000000001,146.444153,95.871429,20.977435999999997,70.556885,250.69999700000002,49.929974
